	train_id	stop_pa	t_northbound	timestamp	temp	precipiation	visability	windspeed	humidity	cloudcover	is_bullet	is_limited	tweet_id	is_delay	del_min	del_med	del_maj	del_cat	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event	d_monday	d_tuesday	d_wednesday	d_thursday	d_friday	d_saturday	d_sunday
60	231.0	0.0	1.0	2015-06-08 08:50:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	371647570375048495104	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0
61	233.0	1.0	1.0	2015-06-08 09:14:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	375624749175184322564	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0
62	135.0	1.0	1.0	2015-06-08 09:46:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	449643293381326565376	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0
63	237.0	1.0	1.0	2015-06-08 10:21:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	262649729608636469249	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
64	139.0	1.0	1.0	2015-06-08 10:46:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	313639083784957132800	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0
65	143.0	1.0	1.0	2015-06-08 11:41:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	371626916231656767488	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0
66	147.0	1.0	1.0	2015-06-08 12:41:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	360649729608636469249	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
67	151.0	1.0	1.0	2015-06-08 13:41:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	375672951005223358464	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0
68	155.0	1.0	1.0	2015-06-08 14:46:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	449643283350073946112	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0
69	257.0	1.0	1.0	2015-06-08 15:11:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	278639621436919803904	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
70	159.0	1.0	1.0	2015-06-08 15:38:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	375649747930870484992	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0
71	261.0	1.0	1.0	2015-06-08 16:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	386614638964490678272	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
72	263.0	1.0	1.0	2015-06-08 16:24:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	274628383102797115392	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
73	365.0	1.0	1.0	2015-06-08 16:43:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	289614638964490678272	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0
74	267.0	1.0	1.0	2015-06-08 16:54:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	442609889477117394944	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
75	269.0	1.0	1.0	2015-06-08 17:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	449643287573775843328	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0
76	371.0	1.0	1.0	2015-06-08 17:06:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	380610988792887926785	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0
77	273.0	1.0	1.0	2015-06-08 17:26:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	385651586788620808192	1	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0
