	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id_x	tweet_id	uid	is_delay	delay_minor	delay_med	delay_major	delay_catastrophic	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event	id	temp	precipiation	visability	windspeed	humidity	cloudcover
34	1	12	1	error	'375', '277'	0	1	1	2016-01-12 02:14:59	277	686733080246108160	277686744294753828864	1	0	0	0	0	1	0	0	0	0	0	0	0	686733080246108160	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
35	1	12	1	error	'366', ''	1	0	0	2016-01-12 02:07:52	366	686731287093096450	375686733080246108160	1	0	0	0	0	1	0	0	0	0	0	0	0	686731287093096450	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
36	1	12	1	error	'262'	0	1	0	2016-01-12 01:36:37	262	686723422584500224	277686733080246108160	1	0	0	0	0	1	0	0	0	0	0	0	0	686723422584500224	54.2433333333	0.0	8.87208333333	5.41260869565	0.780833333333	0.106086956522
37	0	11	1	rush_evening	'138'	0	0	0	2016-01-11 19:27:28	138	686630523163127808	366686731287093096450	1	0	0	0	0	0	1	0	0	0	0	0	0	686630523163127808	53.40125	0.000191666666667	9.78458333333	3.28954545455	0.834166666667	0.31
38	4	8	1	error	'151'	0	0	1	2016-01-08 22:45:57	151	685593311868878848	262686723422584500224	1	0	0	0	1	0	0	0	1	0	0	0	0	685593311868878848	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
39	4	8	1	error	'143'	0	0	1	2016-01-08 20:23:21	143	685557423113777152	138686630523163127808	1	0	0	1	0	0	0	0	0	0	1	0	0	685557423113777152	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
40	4	8	1	error	'142'	0	0	0	2016-01-08 20:21:41	142	685557002844504065	151685593311868878848	1	1	0	0	0	0	0	0	0	0	0	0	0	685557002844504065	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
41	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	143685557423113777152	1	0	1	0	0	0	0	0	0	0	0	1	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
42	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	143685557423113777152	1	0	1	0	0	0	0	0	0	0	0	1	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
43	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	143685557423113777152	1	0	1	0	0	0	0	0	0	0	0	1	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
44	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	143685557423113777152	1	0	1	0	0	0	0	0	0	0	0	1	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
45	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685557002844504065	1	0	0	1	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
46	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685557002844504065	1	0	0	1	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
47	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685557002844504065	1	0	0	1	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
48	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685557002844504065	1	0	0	1	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
49	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
50	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
51	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
52	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
53	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
54	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
55	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
56	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
57	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
58	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
59	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
60	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
61	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
62	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
63	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
64	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
65	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
66	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
67	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
68	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
69	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
70	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
71	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
72	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
73	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
74	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
75	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
76	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
77	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
78	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
79	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
80	4	8	1	error	'142'	0	0	0	2016-01-08 20:14:04	142	685555085691105280	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	685555085691105280	47.5629166667	0.0	9.73125	2.63625	0.82625	0.133846153846
81	1	5	1	error	'268'	0	1	0	2016-01-05 02:16:28	268	684196735107768320	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	684196735107768320	52.4629166667	0.0232083333333	8.19208333333	6.37125	0.879583333333	0.2825
82	1	5	1	error	'268'	0	1	0	2016-01-05 02:16:28	268	684196735107768320	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	684196735107768320	52.4629166667	0.0232083333333	8.19208333333	6.37125	0.879583333333	0.2825
83	1	5	1	error	'268'	0	1	0	2016-01-05 02:16:28	268	684196735107768320	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	684196735107768320	52.4629166667	0.0232083333333	8.19208333333	6.37125	0.879583333333	0.2825
84	1	5	1	error	'268'	0	1	0	2016-01-05 02:16:28	268	684196735107768320	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	684196735107768320	52.4629166667	0.0232083333333	8.19208333333	6.37125	0.879583333333	0.2825
85	0	4	1	rush_evening	'139'	0	0	1	2016-01-04 19:30:42	139	684094621610147840	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	684094621610147840	53.45625	0.000416666666667	8.48708333333	7.01782608696	0.790833333333	0.31
86	0	4	1	rush_evening	'139'	0	0	1	2016-01-04 19:30:42	139	684094621610147840	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	684094621610147840	53.45625	0.000416666666667	8.48708333333	7.01782608696	0.790833333333	0.31
87	0	4	1	rush_evening	'139'	0	0	1	2016-01-04 19:30:42	139	684094621610147840	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	684094621610147840	53.45625	0.000416666666667	8.48708333333	7.01782608696	0.790833333333	0.31
88	0	4	1	rush_evening	'139'	0	0	1	2016-01-04 19:30:42	139	684094621610147840	142685555085691105280	1	0	0	0	0	0	0	0	0	1	0	0	0	684094621610147840	53.45625	0.000416666666667	8.48708333333	7.01782608696	0.790833333333	0.31
89	1	29	12	error	'142'	0	0	0	2015-12-29 20:14:23	142	681931288505221120	268684196735107768320	1	1	0	0	0	0	0	0	0	0	0	0	0	681931288505221120	43.24125	0.0	9.73416666667	3.40318181818	0.744166666667	0.0495833333333
90	1	29	12	error	'264'	0	1	0	2015-12-29 01:54:47	264	681654564676743168	139684094621610147840	1	0	1	0	0	0	0	0	0	0	0	0	0	681654564676743168	43.24125	0.0	9.73416666667	3.40318181818	0.744166666667	0.0495833333333
91	2	23	12	error	'268'	0	1	0	2015-12-23 02:19:14	268	679486389453340673	142681931288505221120	1	0	1	0	0	0	0	0	0	1	0	0	0	679486389453340673	51.3395833333	0.0	10.0	11.9295833333	0.630416666667	0.142083333333
92	5	19	12	error	'258'	0	1	0	2015-12-19 00:34:46	258	678010549586673664	264681654564676743168	1	0	0	0	0	0	0	0	0	0	1	0	0	678010549586673664	50.5241666667	0.00355833333333	9.17041666667	6.01166666667	0.823333333333	0.176
93	2	16	12	rush_evening	'233'	0	1	1	2015-12-16 17:32:20	233	677179463868678144	268679486389453340673	1	0	0	0	0	0	0	0	0	0	0	0	0	677179463868678144	44.8883333333	0.0	10.0	4.245	0.636666666667	0.0508333333333
94	2	16	12	rush_evening	'233'	0	1	1	2015-12-16 17:27:35	233	677178271390302208	258678010549586673664	1	0	1	0	0	0	0	0	0	0	0	0	0	677178271390302208	44.8883333333	0.0	10.0	4.245	0.636666666667	0.0508333333333
95	2	16	12	rush_evening	'233'	0	1	1	2015-12-16 17:15:53	233	677175327299264512	233677179463868678144	1	0	0	1	0	0	0	0	0	0	0	1	0	677175327299264512	44.8883333333	0.0	10.0	4.245	0.636666666667	0.0508333333333
96	2	16	12	error	'365'	1	0	1	2015-12-16 01:07:55	365	676931727684673537	233677178271390302208	1	0	0	1	0	0	0	0	0	0	0	1	0	676931727684673537	44.8883333333	0.0	10.0	4.245	0.636666666667	0.0508333333333
97	5	12	12	error	'287'	0	1	1	2015-12-12 04:01:10	287	675525778021289984	233677175327299264512	1	0	0	0	0	0	0	0	0	0	0	1	0	675525778021289984	51.6929166667	0.0	9.92	3.93434782609	0.757083333333	0.138235294118
98	4	11	12	error	'151', ''	0	0	1	2015-12-11 22:30:59	151	675442683830099968	365676931727684673537	1	0	1	0	0	0	0	0	0	1	0	0	0	675442683830099968	51.9554166667	0.0110666666667	9.55875	6.96125	0.762916666667	0.187058823529
99	4	11	12	error	'254'	0	1	0	2015-12-11 00:27:40	254	675109660169527296	287675525778021289984	1	0	0	0	0	0	0	0	1	0	0	0	0	675109660169527296	51.9554166667	0.0110666666667	9.55875	6.96125	0.762916666667	0.187058823529
100	2	9	12	error	'276'	0	1	0	2015-12-09 02:01:02	276	674408380635549696	151675442683830099968	1	0	1	0	0	0	0	0	0	0	0	0	0	674408380635549696	59.7433333333	0.0	9.98304347826	3.86208333333	0.852173913043	0.16625
101	0	7	12	rush_evening	'134', ''	0	0	0	2015-12-07 18:06:47	134	673926641786097665	254675109660169527296	1	0	1	0	0	0	0	0	0	0	0	0	0	673926641786097665	56.0620833333	0.0	7.11708333333	3.14956521739	0.924583333333	0.164375
102	0	7	12	rush_evening	'134'	0	0	0	2015-12-07 18:01:10	134	673925231744958464	276674408380635549696	0	0	0	0	0	0	0	0	0	0	0	0	0	673925231744958464	56.0620833333	0.0	7.11708333333	3.14956521739	0.924583333333	0.164375
103	6	6	12	error	'448'	0	0	0	2015-12-06 06:10:45	448	673384060673110016	134673926641786097665	0	0	1	0	0	0	0	0	0	1	0	0	0	673384060673110016	56.4120833333	0.0	9.75833333333	4.95565217391	0.722083333333	0.168823529412
104	6	6	12	error	'448'	0	0	0	2015-12-06 06:04:11	448	673382409379811330	134673925231744958464	1	0	0	0	0	0	0	0	0	1	0	0	0	673382409379811330	56.4120833333	0.0	9.75833333333	4.95565217391	0.722083333333	0.168823529412
105	6	6	12	error	'443'	0	0	1	2015-12-06 03:24:33	443	673342234113130496	448673384060673110016	1	0	0	0	0	0	0	0	0	1	0	0	0	673342234113130496	56.4120833333	0.0	9.75833333333	4.95565217391	0.722083333333	0.168823529412
106	5	5	12	error	'386'	1	0	0	2015-12-05 03:27:06	386	672980488030580737	448673382409379811330	1	0	0	0	0	0	0	0	0	1	0	0	0	672980488030580737	48.5008333333	0.0	10.0	3.27066666667	0.817083333333	0.0233333333333
107	5	5	12	error	'381'	1	0	1	2015-12-05 01:47:15	381	672955360236273664	443673342234113130496	1	0	1	0	0	0	0	0	0	0	0	0	0	672955360236273664	48.5008333333	0.0	10.0	3.27066666667	0.817083333333	0.0233333333333
108	5	5	12	error	'375'	1	0	1	2015-12-05 01:29:57	375	672951005223358464	386672980488030580737	1	0	0	0	0	0	0	0	1	0	0	0	0	672951005223358464	48.5008333333	0.0	10.0	3.27066666667	0.817083333333	0.0233333333333
109	5	5	12	error	'156'	0	0	0	2015-12-05 00:28:16	156	672935485593915392	381672955360236273664	1	0	0	0	0	0	0	1	0	0	0	0	0	672935485593915392	48.5008333333	0.0	10.0	3.27066666667	0.817083333333	0.0233333333333
110	4	4	12	error	'151'	0	0	1	2015-12-04 22:06:09	151	672899720470134784	375672951005223358464	1	0	0	0	0	0	0	1	0	0	0	0	0	672899720470134784	50.3541666667	0.0	10.0	4.15217391304	0.834583333333	0.1225
