	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id_x	tweet_id	uid	is_delay	delay_minor	delay_med	delay_major	delay_catastrophic	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event
85	0	30	11	rush_evening	'233'	0	1	1	2015-11-30 17:59:42	233	671388146332864512	135671395851244179456	1	1	0	0	0	0	0	0	0	0	0	0	0
86	2	25	11	error	'151'	0	0	1	2015-11-25 22:13:52	151	669640169469796352	135671389838826856448	0	0	0	0	0	0	0	0	0	0	0	0	0
87	2	25	11	rush_evening	'135'	0	0	1	2015-11-25 18:16:55	135	669580540907917312	233671388146332864512	1	0	0	1	0	0	0	0	0	0	0	0	0
88	1	24	11	error	'274'	0	1	0	2015-11-24 03:16:04	274	668991444787458048	151669640169469796352	1	0	1	0	0	0	0	0	0	0	0	0	0
89	1	24	11	error	'274'	0	1	0	2015-11-24 02:35:57	274	668981350980972544	135669580540907917312	1	0	1	0	0	0	0	0	0	0	1	1	0
90	1	24	11	error	'274'	0	1	0	2015-11-24 02:14:33	274	668975965377159168	274668991444787458048	1	0	0	0	0	0	0	0	0	0	0	0	0
91	0	23	11	error	'155'	0	0	1	2015-11-23 22:57:18	155	668926324073824256	274668981350980972544	0	0	0	0	0	0	0	1	0	0	0	0	0
92	0	23	11	error	'155'	0	0	1	2015-11-23 22:52:07	155	668925018450075650	274668975965377159168	1	0	0	0	0	0	0	0	0	0	1	0	0
93	1	17	11	error	'283'	0	1	1	2015-11-17 03:16:12	283	666454763223953408	155668926324073824256	1	0	1	0	0	0	0	0	0	0	0	0	0
94	1	17	11	error	'279'	0	1	1	2015-11-17 03:11:19	279	666453536776024064	155668925018450075650	1	1	0	0	0	0	0	0	0	0	0	0	0
95	1	17	11	error	'277'	0	1	1	2015-11-17 02:59:35	277	666450581255405568	283666454763223953408	0	0	0	0	0	0	0	0	0	0	0	0	0
96	1	17	11	error	'262'	0	1	0	2015-11-17 02:32:26	262	666443747782103041	279666453536776024064	0	0	0	0	0	0	0	0	0	0	0	0	0
97	1	17	11	error	'375'	1	0	1	2015-11-17 01:37:40	375	666429968130273280	277666450581255405568	0	0	0	0	0	0	0	0	0	0	0	0	0
98	1	17	11	error	'371'	1	0	1	2015-11-17 01:11:14	371	666423313451761665	262666443747782103041	0	0	0	0	0	0	0	0	0	0	0	0	0
99	0	16	11	error	'254'	0	1	0	2015-11-16 23:27:20	254	666397169365061632	375666429968130273280	1	0	0	0	0	0	0	0	1	1	0	0	0
100	4	13	11	error	'151'	0	0	1	2015-11-13 22:18:32	151	665292687944192000	371666423313451761665	1	0	0	0	0	0	0	0	1	1	0	0	0
101	3	12	11	error	'146', '147'	0	0	0	2015-11-12 21:03:14	146	664911353346330624	254666397169365061632	1	1	0	0	0	0	0	0	0	0	0	0	0
