	train_id	stop_pa	t_northbound	time_pa	timestamp	temp	precipiation	visability	windspeed	humidity	cloudcover
84	287.0	1.0	1.0	2015-06-08 18:54:00	2015-06-08 18:54:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
85	289.0	1.0	1.0	2015-06-08 19:10:00	2015-06-08 19:10:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
86	191.0	1.0	1.0	2015-06-08 19:21:00	2015-06-08 19:21:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
87	193.0	1.0	1.0	2015-06-08 20:01:00	2015-06-08 20:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
88	195.0	1.0	1.0	2015-06-08 21:01:00	2015-06-08 21:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
89	197.0	1.0	1.0	2015-06-08 22:01:00	2015-06-08 22:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
90	199.0	1.0	1.0	2015-06-08 23:01:00	2015-06-08 23:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875
0	102.0	1.0	0.0	2015-06-09 05:53:00	2015-06-09 05:53:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
1	104.0	1.0	0.0	2015-06-09 06:23:00	2015-06-09 06:23:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
2	206.0	1.0	0.0	2015-06-09 06:59:00	2015-06-09 06:59:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
3	208.0	1.0	0.0	2015-06-09 07:20:00	2015-06-09 07:20:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
4	210.0	1.0	0.0	2015-06-09 07:28:00	2015-06-09 07:28:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
5	312.0	1.0	0.0	2015-06-09 07:38:00	2015-06-09 07:38:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
6	314.0	1.0	0.0	2015-06-09 07:53:00	2015-06-09 07:53:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
7	216.0	1.0	0.0	2015-06-09 08:05:00	2015-06-09 08:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
8	218.0	1.0	0.0	2015-06-09 08:20:00	2015-06-09 08:20:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
9	220.0	1.0	0.0	2015-06-09 08:28:00	2015-06-09 08:28:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
10	322.0	1.0	0.0	2015-06-09 08:38:00	2015-06-09 08:38:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
11	324.0	1.0	0.0	2015-06-09 08:53:00	2015-06-09 08:53:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
12	226.0	1.0	0.0	2015-06-09 09:05:00	2015-06-09 09:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
13	228.0	1.0	0.0	2015-06-09 09:20:00	2015-06-09 09:20:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
14	230.0	1.0	0.0	2015-06-09 09:28:00	2015-06-09 09:28:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
15	332.0	1.0	0.0	2015-06-09 09:38:00	2015-06-09 09:38:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
16	134.0	1.0	0.0	2015-06-09 10:05:00	2015-06-09 10:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
17	236.0	1.0	0.0	2015-06-09 10:27:00	2015-06-09 10:27:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
18	138.0	1.0	0.0	2015-06-09 11:05:00	2015-06-09 11:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
19	142.0	1.0	0.0	2015-06-09 12:05:00	2015-06-09 12:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
20	146.0	1.0	0.0	2015-06-09 13:05:00	2015-06-09 13:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
21	150.0	1.0	0.0	2015-06-09 14:05:00	2015-06-09 14:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
22	152.0	1.0	0.0	2015-06-09 15:05:00	2015-06-09 15:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
23	254.0	1.0	0.0	2015-06-09 15:27:00	2015-06-09 15:27:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
24	156.0	1.0	0.0	2015-06-09 16:05:00	2015-06-09 16:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
25	258.0	1.0	0.0	2015-06-09 16:27:00	2015-06-09 16:27:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
26	360.0	1.0	0.0	2015-06-09 16:46:00	2015-06-09 16:46:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
27	262.0	1.0	0.0	2015-06-09 17:03:00	2015-06-09 17:03:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
28	264.0	0.0	0.0	2015-06-09 17:10:00	2015-06-09 17:10:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
29	366.0	1.0	0.0	2015-06-09 17:14:00	2015-06-09 17:14:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
30	268.0	1.0	0.0	2015-06-09 17:40:00	2015-06-09 17:40:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
31	370.0	1.0	0.0	2015-06-09 17:51:00	2015-06-09 17:51:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
32	272.0	1.0	0.0	2015-06-09 18:04:00	2015-06-09 18:04:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
33	274.0	0.0	0.0	2015-06-09 18:10:00	2015-06-09 18:10:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
34	376.0	1.0	0.0	2015-06-09 18:14:00	2015-06-09 18:14:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05
